param_id,mom_lookback_bars,mom_threshold,rev_span,rev_threshold,sl_atr,tp_atr,max_hold_bars,confirm_turn,mean_exit,session_set,max_trades_per_day,all_trades,all_pnl,all_max_dd,all_profit_factor,all_win_rate,all_expectancy,all_total_gain,all_total_loss,is_trades,is_pnl,is_max_dd,is_profit_factor,is_win_rate,is_expectancy,is_total_gain,is_total_loss,oos_trades,oos_pnl,oos_max_dd,oos_profit_factor,oos_win_rate,oos_expectancy,oos_total_gain,oos_total_loss,wf_positive
M200R5_0681,40,0.4,20,1.1,1.5,1.25,6,False,True,PRE_RTH,1,17,553.92,139.24,2.1706,0.5882,32.584,1027.1,-473.18,16,328.66,139.24,1.6946,0.5625,20.541,801.84,-473.18,1,225.26,0.0,999.0,1.0,225.26,225.26,0.0,False
M200R5_0268,40,0.4,12,1.1,1.25,1.0,12,False,False,PRE_RTH,3,28,692.78,294.2,1.8241,0.6786,24.742,1533.44,-840.66,25,536.0,294.2,1.6895,0.68,21.44,1313.42,-777.42,3,156.78,63.24,3.4791,0.6667,52.26,220.02,-63.24,False
M200R5_0754,40,0.4,20,1.1,1.5,1.5,12,False,True,PRE_RTH,3,20,772.7,227.74,2.0553,0.65,38.635,1504.88,-732.18,19,501.94,227.74,1.6855,0.6316,26.418,1234.12,-732.18,1,270.76,0.0,999.0,1.0,270.76,270.76,0.0,False
M200R5_1154,40,0.7,20,0.8,1.0,0.75,6,False,False,ALL,3,58,725.08,202.42,1.7383,0.6724,12.501,1707.14,-982.06,41,459.66,150.24,1.6751,0.6585,11.211,1140.52,-680.86,17,265.42,202.42,1.8812,0.7059,15.613,566.62,-301.2,True
M200R5_1070,40,0.7,12,1.1,1.5,1.25,6,True,False,ALL,3,12,375.12,138.98,2.2772,0.5833,31.26,668.82,-293.7,7,115.82,138.98,1.6725,0.5714,16.546,288.04,-172.22,5,259.3,121.48,3.1345,0.6,51.86,380.78,-121.48,False
M200R5_1076,40,0.7,12,1.1,1.5,1.25,6,True,True,ALL,3,12,346.12,138.98,2.1785,0.5833,28.843,639.82,-293.7,7,115.82,138.98,1.6725,0.5714,16.546,288.04,-172.22,5,230.3,121.48,2.8958,0.6,46.06,351.78,-121.48,False
M200R5_0546,40,0.4,20,0.8,1.5,1.5,6,True,False,RTH,3,13,471.88,308.74,1.7794,0.6923,36.298,1077.34,-605.46,11,327.36,308.74,1.6651,0.7273,29.76,819.58,-492.22,2,144.52,113.24,2.2762,0.5,72.26,257.76,-113.24,False
M200R5_0570,40,0.4,20,0.8,1.5,1.5,12,True,False,RTH,3,13,471.88,308.74,1.7794,0.6923,36.298,1077.34,-605.46,11,327.36,308.74,1.6651,0.7273,29.76,819.58,-492.22,2,144.52,113.24,2.2762,0.5,72.26,257.76,-113.24,False
M200R5_0749,40,0.4,20,1.1,1.5,1.5,12,False,False,RTH,1,15,647.9,227.74,2.1303,0.6667,43.193,1221.1,-573.2,14,377.14,227.74,1.658,0.6429,26.939,950.34,-573.2,1,270.76,0.0,999.0,1.0,270.76,270.76,0.0,False
M200R5_0722,40,0.4,20,1.1,1.5,1.5,6,False,False,ALL,3,79,1577.54,434.98,1.7444,0.5696,19.969,3696.7,-2119.16,62,1060.62,434.98,1.649,0.5484,17.107,2694.84,-1634.22,17,516.92,261.96,2.0659,0.6471,30.407,1001.86,-484.94,True
M200R5_0552,40,0.4,20,0.8,1.5,1.5,6,True,True,RTH,3,13,458.38,308.74,1.7571,0.6923,35.26,1063.84,-605.46,11,313.86,308.74,1.6376,0.7273,28.533,806.08,-492.22,2,144.52,113.24,2.2762,0.5,72.26,257.76,-113.24,False
M200R5_0576,40,0.4,20,0.8,1.5,1.5,12,True,True,RTH,3,13,458.38,308.74,1.7571,0.6923,35.26,1063.84,-605.46,11,313.86,308.74,1.6376,0.7273,28.533,806.08,-492.22,2,144.52,113.24,2.2762,0.5,72.26,257.76,-113.24,False
M200R5_1160,40,0.7,20,0.8,1.0,0.75,6,False,True,ALL,3,58,695.08,202.42,1.7072,0.6552,11.984,1677.88,-982.8,41,429.66,150.24,1.6304,0.6341,10.48,1111.26,-681.6,17,265.42,202.42,1.8812,0.7059,15.613,566.62,-301.2,True
M200R5_0294,40,0.4,12,1.1,1.5,1.25,6,False,False,RTH,3,22,669.22,434.98,2.0632,0.7273,30.419,1298.66,-629.44,20,393.7,434.98,1.6255,0.7,19.685,1023.14,-629.44,2,275.52,0.0,999.0,1.0,137.76,275.52,0.0,False
M200R5_0656,40,0.4,20,1.1,1.25,1.0,12,False,True,ALL,3,80,1207.8,262.74,1.6447,0.6375,15.097,3081.26,-1873.46,62,875.62,262.74,1.6178,0.6129,14.123,2292.88,-1417.26,18,332.18,230.18,1.7281,0.7222,18.454,788.38,-456.2,True
M200R5_0728,40,0.4,20,1.1,1.5,1.5,6,False,True,ALL,3,79,1482.04,434.98,1.6994,0.5696,18.76,3601.2,-2119.16,62,1008.62,434.98,1.6172,0.5484,16.268,2642.84,-1634.22,17,473.42,261.96,1.9762,0.6471,27.848,958.36,-484.94,True
M200R5_0274,40,0.4,12,1.1,1.25,1.0,12,False,True,PRE_RTH,3,28,634.28,294.2,1.7545,0.6786,22.653,1474.94,-840.66,25,477.5,294.2,1.6142,0.68,19.1,1254.92,-777.42,3,156.78,63.24,3.4791,0.6667,52.26,220.02,-63.24,False
