config_id,signal_family,side_mode,sl_rule,tp_rule,sl_value,tp_value,max_hold_bars,trades,pnl,profit_factor,win_rate,expectancy,max_dd,total_gain,total_loss,wf_folds,wf_positive,wf_all_positive,wf_pnls,day_positive_rate,week_positive_rate,month_positive_rate,week_std_pnl
X00203,emapmo,all,atr,atr,2.5,4.0,48,84,485.84,1.0586,0.4167,5.7838,1842.44,8775.1,-8289.26,3,2,False,"[-73.22, 464.78, 94.28]",0.4324,0.4167,0.75,379.95
X01933,momentum_reversion,short_only,range15_pct,range15_pct,1.0,1.0,12,41,120.66,1.0584,0.5122,2.9429,774.2,2186.46,-2065.8,3,1,False,"[-147.36, 308.14, -40.12]",0.4815,0.5455,0.5,170.01
X01936,momentum_reversion,short_only,range15_pct,range15_pct,1.25,1.0,12,40,120.9,1.0582,0.525,3.0225,722.96,2199.46,-2078.56,3,2,False,"[-152.36, 219.88, 53.38]",0.4815,0.5455,0.5,168.91
X00125,emapmo,all,fixed,fixed,60.0,60.0,24,167,516.42,1.058,0.521,3.0923,1851.18,9426.62,-8910.2,3,2,False,"[962.06, -1729.94, 1284.3]",0.4872,0.5833,0.75,455.73
X01284,icefishball,short_only,atr,atr,2.5,1.5,24,253,720.28,1.0579,0.6166,2.847,1617.76,13161.06,-12440.78,3,2,False,"[-157.9, 287.34, 590.84]",0.5536,0.6154,0.75,488.06
X00098,emapmo,all,atr_blend,atr_blend,2.0,1.0,12,202,516.52,1.057,0.6287,2.557,1558.28,9581.02,-9064.5,3,2,False,"[778.18, 294.42, -556.08]",0.55,0.75,0.75,320.71
X00562,emapmo,short_only,range15_pct,range15_pct,0.75,1.0,12,136,276.86,1.057,0.4706,2.0357,1184.16,5133.14,-4856.28,3,2,False,"[285.96, 401.2, -410.3]",0.5667,0.6667,0.75,331.29
X01215,icefishball,short_only,atr,atr,1.0,1.5,12,346,655.46,1.0567,0.4075,1.8944,925.04,12210.66,-11555.2,3,2,False,"[-165.34, 622.4, 198.4]",0.4821,0.5385,0.75,295.21
X00129,emapmo,all,fixed,fixed,80.0,60.0,24,147,472.22,1.0565,0.5714,3.2124,1836.54,8830.34,-8358.12,3,2,False,"[1117.24, -1545.26, 900.24]",0.5897,0.5833,0.5,433.0
X00228,emapmo,all,range15_pct,range15_pct,1.25,2.0,48,100,471.0,1.0561,0.42,4.71,1615.78,8873.42,-8402.42,3,2,False,"[659.84, -456.92, 268.08]",0.4054,0.5,0.75,325.03
X00155,emapmo,all,atr_blend,atr_blend,2.0,1.0,24,188,509.88,1.0557,0.6755,2.7121,1602.44,9656.02,-9146.14,3,1,False,"[1037.88, -40.12, -487.88]",0.575,0.5833,0.75,297.16
X00052,emapmo,all,range15_pct,range15_pct,1.0,1.0,6,207,481.32,1.055,0.5024,2.3252,1376.4,9232.54,-8751.22,3,2,False,"[342.44, -175.56, 314.44]",0.525,0.4167,0.75,309.39
X01549,momentum_reversion,all,fixed,fixed,60.0,30.0,48,108,226.08,1.0548,0.6852,2.0933,635.96,4348.24,-4122.16,3,2,False,"[-224.64, 135.36, 315.36]",0.5106,0.5,0.75,243.63
X00189,emapmo,all,atr,atr,1.0,1.5,48,223,542.98,1.0542,0.426,2.4349,1054.84,10557.2,-10014.22,3,2,False,"[769.0, -262.26, 36.24]",0.525,0.5,0.75,202.41
X01684,momentum_reversion,long_only,atr,atr,2.5,2.0,12,56,128.06,1.0542,0.5179,2.2868,690.42,2492.54,-2364.48,3,2,False,"[-360.56, 154.44, 334.18]",0.4857,0.4167,0.5,289.48
X00205,emapmo,all,atr_blend,atr_blend,1.0,1.5,48,197,501.72,1.0541,0.4264,2.5468,1232.16,9780.84,-9279.12,3,2,False,"[741.16, 594.66, -834.1]",0.45,0.5,0.75,230.39
X00171,emapmo,all,range15_pct,range15_pct,1.25,2.0,24,104,409.04,1.054,0.4615,3.9331,1645.78,7979.98,-7570.94,3,2,False,"[459.6, -414.9, 364.34]",0.4737,0.5,0.5,307.82
X00110,emapmo,all,range15_pct,range15_pct,1.0,1.5,12,138,443.88,1.0532,0.4493,3.2165,1624.12,8792.12,-8348.24,3,2,False,"[544.96, -485.54, 384.46]",0.4211,0.6667,0.75,251.93
X00053,emapmo,all,range15_pct,range15_pct,1.0,1.5,6,187,440.62,1.0529,0.4652,2.3563,1324.84,8771.62,-8331.0,3,2,False,"[318.88, -79.38, 201.12]",0.4615,0.5,0.75,230.13
